ano,mes_numero,mes,data,categoria,subcategoria,indicador,indicador_completo,valor
2021,7,JUL,2021-07-01,,,Visitas Domiciliares,Visitas Domiciliares,0.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,Ensino EJA,matriculados,Ensino EJA - matriculados,0.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,Ensino infantil,aguardando vaga,Ensino infantil - aguardando vaga,6.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,Ensino infantil,matriculados,Ensino infantil - matriculados,7.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,1.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,8,AGO,2021-08-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,8,AGO,2021-08-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,8,AGO,2021-08-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,8,AGO,2021-08-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,8,AGO,2021-08-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,8,AGO,2021-08-01,,,Atendimento familiar,Atendimento familiar,26.0
2021,8,AGO,2021-08-01,,,Atendimentos individual,Atendimentos individual,40.0
2021,8,AGO,2021-08-01,,,Colocação em família substituta,Colocação em família substituta,3.0
2021,8,AGO,2021-08-01,,,Desligamentos,Desligamentos,4.0
2021,8,AGO,2021-08-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),2.0
2021,8,AGO,2021-08-01,,,Efetivos na casa,Efetivos na casa,15.0
2021,8,AGO,2021-08-01,,,Evasão,Evasão,0.0
2021,8,AGO,2021-08-01,,,Interface com educação,Interface com educação,33.0
2021,8,AGO,2021-08-01,,,Interface com judiciário,Interface com judiciário,6.0
2021,8,AGO,2021-08-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,8.0
2021,8,AGO,2021-08-01,,,Novos ingressos,Novos ingressos,1.0
2021,8,AGO,2021-08-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",6.0
2021,8,AGO,2021-08-01,,,Transferências,Transferências,0.0
2021,8,AGO,2021-08-01,,,Visitas Domiciliares,Visitas Domiciliares,1.0
2021,9,SET,2021-09-01,EDUCAÇÃO,Ensino EJA,aguardando vaga,Ensino EJA - aguardando vaga,0.0
